type,flag,externInfo,parameters,version,applicant
0x003e0000,FLAG_TNE_LOG| FLAG_TNE_ANR_TRACE| FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_POWER| FLAG_TNE_DB_INFO| FLAG_TNE_SYS_MEM,,,,
0x003e0001,FLAG_TNE_LOG| FLAG_TNE_PERF_BUFFER | FLAG_TNE_SYS_TRACE | FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_SYS_MEM| FLAG_TNE_WINDOW| FLAG_TNE_CPU_INFO| FLAG_TNE_BINDER,,,,
0x003e0002,FLAG_TNE_LOG| FLAG_TNE_COM_BUFFER| FLAG_TNE_BASIC,,,,
0x003e0003,FLAG_TNE_LOG| FLAG_TNE_COM_BUFFER| FLAG_TNE_BASIC,,,,
0x003e0004,FLAG_TNE_LOG| FLAG_TNE_POWER_BUFFER| FLAG_TNE_BASIC| FLAG_TNE_POWER| FLAG_TNE_THERMAL| FLAG_TNE_PACKAGE| FLAG_TNE_BUGREPORT,,,,
0x003e0005,FLAG_TNE_LOG| FLAG_TNE_MEDIA| FLAG_TNE_BASIC,,,,
0x003e0006,FLAG_TNE_LOG| FLAG_TNE_CAMERA_BUFFER| FLAG_TNE_CAMERA | FLAG_TNE_ANR_TRACE| FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_DB_INFO| FLAG_TNE_SYS_MEM,,,,
0x003e0007,FLAG_TNE_LOG| FLAG_TNE_CAMERA| FLAG_TNE_BUGREPORT| FLAG_TNE_SYS_MEM| FLAG_TNE_BASIC| FLAG_TNE_POWER | FLAG_TNE_PACKAGE| FLAG_TNE_DB_INFO| FLAG_TNE_FD| FLAG_TNE_WINDOW| FLAG_TNE_BINDER| FLAG_TNE_CPU_INFO | FLAG_TNE_PERF_BUFFER| FLAG_TNE_POWER_BUFFER| FLAG_TNE_PERF_BUFFER| FLAG_TNE_COM_BUFFER| FLAG_TNE_CAMERA_BUFFER,,,,
0x003e0008,FLAG_TNE_LOG| FLAG_TNE_CAMERA| FLAG_TNE_BUGREPORT| FLAG_TNE_SYS_MEM| FLAG_TNE_BASIC| FLAG_TNE_POWER | FLAG_TNE_PACKAGE| FLAG_TNE_DB_INFO| FLAG_TNE_FD| FLAG_TNE_WINDOW| FLAG_TNE_BINDER| FLAG_TNE_CPU_INFO | FLAG_TNE_PERF_BUFFER| FLAG_TNE_POWER_BUFFER| FLAG_TNE_PERF_BUFFER| FLAG_TNE_COM_BUFFER| FLAG_TNE_CAMERA_BUFFER,,,,
0x007a0000,FLAG_TNE_BINDER |FLAG_TNE_BASIC |FLAG_TNE_SYS_MEM | FLAG_TNE_PROC_BASIC |FLAG_TNE_PROC_STACK,,,,
0x007a0001,默认：FLAG_TNE_WINDOW lowmem：FLAG_TNE_HPROF,,,,
0x007a0052,,,,,
0xffffff34,FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_LOG_RADIO | FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LAST_KMSG | FLAG_TNE_FD | FLAG_TNE_USER_MAPS | FLAG_TNE_USER_BLOCKIO | FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_DF | FLAG_TNE_USER_MOUNT | FLAG_TNE_USER_PS | FLAG_TNE_USER_WINDOW | FLAG_TNE_USER_ANR_TRACE,,,,
0x007a0053,,,,,
0xffffff35,FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_LOG_RADIO | FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LAST_KMSG | FLAG_TNE_FD | FLAG_TNE_USER_MAPS | FLAG_TNE_USER_ANR_TRACE | FLAG_TNE_USER_PROPERTY,,,,
0x00450005,,,,,
0xffffff21,FLAG_TNE_USER_WINDOW | FLAG_TNE_USER_PROC_MEMINFO | FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_PROPERTY,,,,
0x00450006,,,,,
0xffffff22,,,,,
0x00450007,,,,,
0xffffff23,,,,,
0x00450008,,,,,
0xffffff24,FLAG_TNE_USER_LOG_MAIN_SYS |FLAG_TNE_USER_LOG_EVENT |FLAG_TNE_USER_LOG_KERNEL |FLAG_TNE_USER_PROPERTY |FLAG_TNE_USER_WINDOW,,,,
0x00450009,FLAG_TNE_DISPLAY|FLAG_TNE_LOG,,,,
0xffffff25,FLAG_TNE_USER_LOG_MAIN_SYS |FLAG_TNE_USER_LOG_EVENT|FLAG_TNE_USER_WINDOW,,,,
0x00500003,,,,,
0xffffff37,FLAG_TNE_USER_PROC_MEMINFO|FLAG_TNE_USER_ZONE_INFO|FLAG_TNE_USER_BLOCKIO|FLAG_TNE_USER_LOG_KERNEL,,,,
0xffffff38,,,,,
0x007a0054,,,,,
0xffffff39,,,,,
0xffffff40,,,,,
0xffffff41,,,,,
0xffffff42,,,,,
0xffffff43,,,,,
0xffffff44,,,,,
0x00500004,,,,,
0x00500005,,,,,
0x00500008,,,,,
0x00500009,,,,,
0x0050000a,,,,,
0x00500006,,,,,
0xffffff45,,,,,
0xffffff50,,,,,
0xffffff51,,,,,
0x00190000,,,,,
0x00190001,,,,,
0x00190002,,,,,
0x00190003,,,,,
0x007a0056,,,,,
0x00a00000,FLAG_TNE_LOG| FLAG_TNE_BASIC,/data/misc/logd/logmuch,,,
0x00500007,,,,,
0xffffff46,,,,,
0xffffff52,,,,,
0xffffff53,,,,,
0xffffff54,,,,,
0x000f0000,,,,,
0xffffff70,,,,,
